incident_id,date,state,city_or_county,n_killed,n_injured,congressional_district,gun_stolen,gun_type,incident_characteristics,latitude,longitude,n_guns_involved,participant_age,participant_age_group,participant_gender,participant_relationship,participant_status,participant_type,state_house_district,state_senate_district
92328,2014-01-01,Arizona,Tolleson,3,0,7.0,,,"Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide",33.446,-112.258,0,0::45||1::8||2::6,0::Adult 18+||1::Child 0-11||2::Child 0-11,0::Male||1::Female||2::Female,,0::Killed||1::Killed||2::Killed,0::Victim||1::Victim||2::Victim,19.0,19.0
97976,2014-01-01,Hawaii,Lihue,1,0,2.0,0::Unknown,0::Unknown,"Shot - Dead (murder, accidental, suicide)",21.999,-159.356,1,0::88||1::41,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,15.0,8.0
92490,2014-01-01,Florida,Orlando,1,0,9.0,,,"Shot - Dead (murder, accidental, suicide)||Domestic Violence",28.506,-81.151,0,0::34||1::15,0::Adult 18+||1::Teen 12-17,0::Male||1::Male,1::Family,"0::Killed||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect,50.0,13.0
92540,2014-01-01,Florida,Orlando,1,1,10.0,,,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",28.453,-81.389,0,0::18||1::20||2::25,0::Adult 18+||1::Adult 18+||2::Adult 18+,0::Female||1::Male||2::Male,,"0::Killed||1::Injured||2::Unharmed, Arrested",0::Victim||1::Victim||2::Subject-Suspect,48.0,12.0
92279,2014-01-01,Indiana,Fort Wayne,1,0,3.0,,,"Shot - Dead (murder, accidental, suicide)",41.068,-85.092,0,,0::Adult 18+,0::Male,,0::Killed,0::Victim,80.0,15.0
92660,2014-01-01,Maryland,Clinton,1,0,5.0,,,"Shot - Dead (murder, accidental, suicide)",38.765,-76.871,0,0::52||1::38,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,,27.0
93194,2014-01-01,Texas,Borger,1,0,13.0,,,"Shot - Dead (murder, accidental, suicide)||Domestic Violence",35.663,-101.404,0,0::47||1::23,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,87.0,31.0
92395,2014-01-01,New York,Buffalo,1,0,26.0,,,"Shot - Dead (murder, accidental, suicide)",42.891,-78.866,0,0::25,0::Adult 18+,0::Female,,0::Killed,0::Victim,141.0,63.0
92194,2014-01-01,Virginia,Norfolk,2,2,3.0,,,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",36.851,-76.286,0,0::22||1::32,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+,0::Male||1::Male||2::Male||3::Male,,0::Killed||1::Killed||2::Injured||3::Injured,0::Victim||1::Victim||2::Victim||3::Victim,80.0,6.0
92393,2014-01-01,California,Merced,1,0,16.0,,,"Shot - Dead (murder, accidental, suicide)||Gang involvement",37.339,-120.497,0,,0::Adult 18+,0::Male,,0::Killed,0::Victim,21.0,12.0
92662,2014-01-01,Maryland,New Carrollton,1,0,4.0,,,"Shot - Dead (murder, accidental, suicide)",38.955,-76.878,0,0::28,0::Adult 18+,0::Male,,0::Killed,0::Victim,22.0,22.0
92389,2014-01-01,California,Fresno,2,0,16.0,,,"Shot - Dead (murder, accidental, suicide)||Gang involvement",36.737,-119.773,0,0::33,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Killed,0::Victim||1::Victim,31.0,14.0
92736,2014-01-01,Texas,Lubbock,1,1,19.0,,,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",33.592,-101.818,0,0::21||1::25,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,"0::Killed||1::Injured, Arrested",0::Victim||1::Subject-Suspect,84.0,28.0
92211,2014-01-01,South Carolina,North Charleston,1,0,6.0,,,"Shot - Dead (murder, accidental, suicide)",32.846,-80.029,0,0::49,0::Adult 18+,0::Female,,0::Killed,0::Victim,111.0,41.0
92174,2014-01-01,Illinois,Chicago,0,4,2.0,,,Shot - Wounded/Injured||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator shot||Brandishing/flourishing/open carry/lost/found,41.704,-87.626,0,3::25,0::Adult 18+||1::Adult 18+||3::Adult 18+||4::Adult 18+,0::Male||1::Male||2::Female||3::Male||4::Male,,0::Injured||1::Injured||2::Injured||3::Injured,0::Victim||1::Victim||2::Victim||3::Subject-Suspect||4::Subject-Suspect,28.0,14.0
92135,2014-01-01,New York,Brooklyn,1,0,8.0,0::Unknown,0::Unknown,"Shot - Dead (murder, accidental, suicide)||Gang involvement",40.684,-73.908,1,0::17,0::Teen 12-17,0::Male,,0::Killed,0::Victim,54.0,18.0
92828,2014-01-01,Mississippi,Newton,1,0,3.0,,,"Shot - Dead (murder, accidental, suicide)",32.316,-89.153,0,0::27||1::30,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,84.0,31.0
92221,2014-01-01,Alabama,Birmingham,1,0,7.0,,,"Shot - Dead (murder, accidental, suicide)",33.472,-86.885,0,0::36,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,52.0,18.0
92373,2014-01-01,Maryland,Baltimore,2,0,7.0,,,"Shot - Dead (murder, accidental, suicide)",39.277,-76.74,0,0::48||1::21,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Killed,0::Victim||1::Victim||2::Subject-Suspect,12.0,12.0
92363,2014-01-01,Kansas,Saint Marys,1,0,1.0,,,"Shot - Dead (murder, accidental, suicide)",39.206,-96.068,0,0::24||1::21,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,61.0,18.0
92602,2014-01-01,Michigan,Detroit,2,2,13.0,,,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Domestic Violence",42.348,-83.06,0,0::37||1::42||2::37||3::42,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+,0::Male||1::Female||2::Male||3::Female,,0::Killed||1::Injured||2::Killed||3::Injured,0::Victim||1::Victim||2::Subject-Suspect||3::Subject-Suspect,6.0,1.0
92360,2014-01-01,Colorado,Colorado Springs,1,0,5.0,,,"Shot - Dead (murder, accidental, suicide)",38.814,-104.749,0,0::19||1::30,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,17.0,11.0
92512,2014-01-01,Florida,Riviera Beach,1,1,20.0,,,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Domestic Violence",26.788,-80.071,0,0::27||1::29||2::25,0::Adult 18+||1::Adult 18+||2::Adult 18+,0::Male||1::Female||2::Male,,0::Killed||1::Injured||2::Unharmed,0::Victim||1::Victim||2::Subject-Suspect,88.0,27.0
92248,2014-01-01,Virginia,Russell County,1,0,9.0,,,"Shot - Dead (murder, accidental, suicide)",36.93,-82.272,0,,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,4.0,38.0
97866,2014-01-01,Louisiana,Walker,1,0,6.0,,,"Shot - Dead (murder, accidental, suicide)||Domestic Violence",30.482,-90.862,0,0::34||1::17,0::Adult 18+||1::Teen 12-17,0::Female||1::Male,1::Family,"0::Killed||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect,95.0,13.0
92160,2014-01-01,Oklahoma,Chelsea,1,0,4.0,,,"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",35.252,-97.495,0,0::33,0::Adult 18+,,,0::Killed,0::Victim,46.0,15.0
92522,2014-01-01,Florida,Pinellas Park,2,0,13.0,,,"Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide",27.843,-82.706,0,0::29||1::48,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Killed,0::Victim||1::Victim,68.0,22.0
92409,2014-01-01,New Jersey,Trenton,1,0,12.0,,,"Shot - Dead (murder, accidental, suicide)",40.205,-74.76,0,,,0::Female||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,15.0,15.0
92472,2014-01-01,North Carolina,Davidson County,1,1,5.0,,,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",35.869,-80.237,0,0::71||1::70,0::Adult 18+||1::Adult 18+,0::Male||1::Female,,0::Killed||1::Injured,0::Victim||1::Victim,81.0,33.0
182940,2014-01-01,Michigan,Detroit (Redford Charter Township),1,2,13.0,0::Unknown,0::Unknown,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Car-jacking",42.423,-83.297,1,,0::Adult 18+||1::Adult 18+||2::Adult 18+,0::Male||1::Male||2::Male,,0::Injured||1::Injured||2::Killed,0::Victim||1::Victim||2::Subject-Suspect,10.0,5.0
92158,2014-01-01,Virginia,Castlewood,1,0,9.0,,,"Shot - Dead (murder, accidental, suicide)",36.851,-82.296,0,,,,,0::Killed,0::Victim,4.0,38.0
92432,2014-01-01,New York,Rochester,1,1,25.0,,,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",43.166,-77.646,0,0::23||1::27||2::17,0::Adult 18+||1::Adult 18+||2::Teen 12-17,0::Male||1::Male||2::Male,,"0::Killed||1::Injured||2::Unharmed, Arrested",0::Victim||1::Victim||2::Subject-Suspect,136.0,56.0
100729,2014-01-01,Florida,Orlando,1,0,9.0,0::Unknown,0::Unknown,"Shot - Dead (murder, accidental, suicide)||Domestic Violence",28.506,-81.151,1,0::35||1::15,0::Adult 18+||1::Teen 12-17,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,50.0,13.0
92294,2014-01-01,North Carolina,Columbus County,1,0,7.0,,,"Shot - Dead (murder, accidental, suicide)",34.202,-78.947,0,0::31,0::Adult 18+,0::Female,,0::Killed,0::Victim,46.0,13.0
92679,2014-01-02,Maryland,Baltimore,1,0,2.0,,,"Shot - Dead (murder, accidental, suicide)",39.327,-76.564,0,,0::Adult 18+,0::Male,,0::Killed,0::Victim,45.0,45.0
92378,2014-01-02,California,San Jose,1,0,19.0,,,"Shot - Dead (murder, accidental, suicide)",37.333,-121.888,0,,0::Adult 18+,0::Male,,0::Killed,0::Victim,27.0,15.0
92668,2014-01-02,Maryland,Baltimore,2,0,7.0,,,"Shot - Dead (murder, accidental, suicide)",39.311,-76.586,0,0::27||1::29,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Killed,0::Victim||1::Victim,45.0,45.0
92277,2014-01-02,Indiana,Indianapolis,1,0,7.0,,,"Shot - Dead (murder, accidental, suicide)",39.763,-86.118,0,0::16||1::15||2::17||3::34,0::Teen 12-17||1::Teen 12-17||2::Teen 12-17||3::Adult 18+,0::Male||1::Male||2::Male||3::Male,,"0::Killed||1::Unharmed, Arrested||2::Unharmed, Arrested||3::Unharmed, Arrested",0::Victim||1::Subject-Suspect||2::Subject-Suspect||3::Subject-Suspect,100.0,36.0
94400,2014-01-02,Missouri,Columbia,1,0,4.0,,,"Shot - Dead (murder, accidental, suicide)||Drug involvement",38.973,-92.335,0,0::23||1::17||2::20||3::20,0::Adult 18+||1::Teen 12-17||2::Adult 18+||3::Adult 18+,0::Male||1::Male||2::Male||3::Male,,0::Killed||1::Unharmed||2::Unharmed||3::Unharmed,0::Victim||1::Subject-Suspect||2::Subject-Suspect||3::Subject-Suspect,45.0,19.0
92883,2014-01-02,Florida,Crestview,1,2,1.0,,,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - Officer shot||Officer Involved Shooting - subject/suspect/perpetrator killed||Defensive Use",30.759,-86.575,0,2::38||3::33,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+,0::Male||1::Male||2::Male||3::Male,,0::Injured||1::Injured||2::Unharmed||3::Killed,0::Victim||1::Victim||2::Subject-Suspect||3::Subject-Suspect,4.0,1.0
92867,2014-01-02,Florida,Davie,1,1,20.0,,,"Shot - Dead (murder, accidental, suicide)||Home Invasion||Home Invasion - Resident injured||Home Invasion - subject/suspect/perpetrator killed||Armed robbery with injury/death and/or evidence of DGU found||Pistol-whipping||Brandishing/flourishing/open carry/lost/found||Defensive Use",26.127,-80.214,0,,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+,0::Male||1::Male||2::Male||3::Male,,0::Injured||1::Killed||2::Unharmed||3::Unharmed,0::Victim||1::Subject-Suspect||2::Subject-Suspect||3::Subject-Suspect,94.0,31.0
92817,2014-01-02,Alabama,Union Grove,1,0,5.0,,,"Shot - Dead (murder, accidental, suicide)||Drug involvement",34.458,-86.587,0,0::37||1::21,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,9.0,3.0
92322,2014-01-02,Indiana,Indianapolis,1,0,7.0,,,"Shot - Dead (murder, accidental, suicide)",39.781,-86.123,0,,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,96.0,34.0
109172,2014-01-02,Indiana,Indianapolis,1,0,7.0,,,"Shot - Dead (murder, accidental, suicide)",39.781,-86.144,0,0::50,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,96.0,34.0
92803,2014-01-02,Colorado,Colorado Springs,1,0,5.0,,,"Shot - Dead (murder, accidental, suicide)",38.814,-104.748,0,0::19||1::30,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,17.0,11.0
92609,2014-01-02,Colorado,Thornton,1,0,7.0,,,"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator shot||Officer Involved Shooting - subject/suspect/perpetrator killed||Possession (gun(s) found during commission of other crimes)",39.856,-104.963,0,,0::Adult 18+,0::Male,,0::Killed,0::Victim,31.0,25.0
93348,2014-01-02,California,National City,1,0,51.0,,,"Shot - Dead (murder, accidental, suicide)",32.673,-117.082,0,,0::Adult 18+,,,0::Killed,0::Victim,80.0,40.0
92494,2014-01-02,Georgia,Marietta,1,0,11.0,,,"Shot - Dead (murder, accidental, suicide)",33.896,-84.578,0,0::37,0::Adult 18+,0::Female,,0::Killed,0::Victim,41.0,33.0
92426,2014-01-02,Tennessee,Knoxville,2,0,2.0,,,"Shot - Dead (murder, accidental, suicide)||Murder/Suicide",35.82,-84.177,0,0::59||1::49,0::Adult 18+||1::Adult 18+,0::Male||1::Female,,0::Killed||1::Killed,0::Victim||1::Victim,14.0,6.0
92536,2014-01-02,Florida,Orlando,1,0,10.0,,,"Shot - Dead (murder, accidental, suicide)||Suicide^||Gun range/gun shop/gun show shooting",28.471,-81.369,0,0::58,0::Adult 18+,0::Male,,0::Killed,0::Victim,48.0,13.0
95694,2014-01-02,Mississippi,Vicksburg,1,0,2.0,,,"Shot - Dead (murder, accidental, suicide)||Animal shot/killed",32.326,-90.891,0,,,,,0::Killed,0::Victim,55.0,23.0
92898,2014-01-02,Colorado,Fort Collins,1,0,2.0,,,"Shot - Dead (murder, accidental, suicide)||Suicide^",40.618,-105.036,0,0::30,0::Adult 18+,0::Male,,0::Killed,0::Victim,52.0,14.0
92168,2014-01-02,Ohio,Cincinnati (Evanston),1,0,1.0,,,"Shot - Dead (murder, accidental, suicide)",39.145,-84.474,0,0::37,0::Adult 18+,0::Male,,0::Killed,0::Victim,31.0,9.0
92752,2014-01-02,Pennsylvania,Dunbar,1,0,9.0,,,"Shot - Dead (murder, accidental, suicide)||Accidental Shooting||Accidental Shooting - Death||Thought gun was unloaded",39.966,-79.667,0,0::22||1::17,0::Adult 18+||1::Teen 12-17,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,,
92647,2014-01-02,Texas,Dallas,1,0,30.0,,,"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",32.794,-96.807,0,0::47,0::Adult 18+,0::Male,,0::Killed,0::Victim,108.0,23.0
92645,2014-01-02,Texas,Hondo,1,0,23.0,,,"Shot - Dead (murder, accidental, suicide)",29.358,-99.128,0,0::35||1::33,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,"0::Killed||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect,53.0,19.0
92727,2014-01-02,New Jersey,Camden,1,0,1.0,,,"Shot - Dead (murder, accidental, suicide)",39.925,-75.104,0,0::39,0::Adult 18+,0::Male,,0::Killed,0::Victim,5.0,5.0
92299,2014-01-02,West Virginia,Boone County,2,0,3.0,,,"Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide",38.127,-81.578,0,0::34||1::45,0::Adult 18+||1::Adult 18+,0::Female||1::Male,,0::Killed||1::Killed,0::Victim||1::Subject-Suspect,23.0,7.0
92571,2014-01-02,Mississippi,Natchez,1,0,3.0,,,"Shot - Dead (murder, accidental, suicide)",31.566,-91.392,0,1::34,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,94.0,38.0
97819,2014-01-02,Alabama,Huntsville,1,0,5.0,,,"Shot - Dead (murder, accidental, suicide)||Drug involvement||Drive-by (car to street, car to car)",34.767,-86.602,0,0::21||1::24,0::Adult 18+||1::Adult 18+,0::Female||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,19.0,7.0
92704,2014-01-03,New York,Queens,1,3,5.0,,,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",40.678,-73.763,0,0::42||1::22||2::22||3::20||4::42,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Male||1::Male||2::Male||3::Female||4::Male,,0::Killed||1::Injured||2::Injured||3::Injured||4::Unharmed,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,32.0,10.0
92849,2014-01-03,Louisiana,Opelousas,1,0,5.0,,,"Shot - Dead (murder, accidental, suicide)",30.546,-92.086,0,0::32||1::23,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,40.0,24.0
92981,2014-01-03,Oregon,Lincoln City,1,0,5.0,,,"Shots Fired - No Injuries||Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff||Armed robbery with injury/death and/or evidence of DGU found",44.982,-124.008,0,0::30||1::30,0::Adult 18+||1::Adult 18+,0::Female||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Victim,10.0,5.0
92992,2014-01-03,Nevada,Sparks,1,0,2.0,,,"Shot - Dead (murder, accidental, suicide)||Suicide^",39.542,-119.755,0,,0::Adult 18+,0::Male,,0::Killed,0::Victim,30.0,13.0
92788,2014-01-03,North Carolina,Winston-Salem,1,0,12.0,,,"Shot - Dead (murder, accidental, suicide)",36.126,-80.219,0,,0::Adult 18+,0::Male,,0::Killed,0::Victim,72.0,32.0
103026,2014-01-03,Illinois,Taylorville,1,0,13.0,0::Unknown,0::Unknown,"Shot - Dead (murder, accidental, suicide)||Suicide^",39.548,-89.295,1,0::44,0::Adult 18+,0::Female,,0::Killed,0::Victim,95.0,48.0
92936,2014-01-03,Mississippi,Laurel,2,0,4.0,,,"Shot - Dead (murder, accidental, suicide)",31.678,-89.145,0,0::19||1::31||2::20||3::18||4::23||5::22,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+,0::Male||1::Male||2::Female||3::Female||4::Male,,0::Killed||1::Killed||2::Unharmed||3::Unharmed||4::Unharmed||5::Unharmed,0::Victim||1::Victim||2::Subject-Suspect||3::Subject-Suspect||4::Subject-Suspect||5::Subject-Suspect,80.0,34.0
92445,2014-01-03,Michigan,Detroit,1,0,13.0,,,"Shot - Dead (murder, accidental, suicide)",42.417,-83.281,0,1::23,0::Adult 18+||1::Adult 18+,0::Female||1::Male,,0::Killed||1::Unharmed||2::Unharmed,0::Victim||1::Subject-Suspect||2::Subject-Suspect,9.0,5.0
92593,2014-01-03,Washington,Bellevue,1,0,9.0,,,"Shot - Dead (murder, accidental, suicide)||Suicide^",47.608,-122.176,0,,0::Adult 18+,0::Male,,0::Killed,0::Victim,41.0,41.0
92978,2014-01-03,Washington,Walla Walla,1,0,5.0,,,"Shot - Dead (murder, accidental, suicide)",46.023,-118.428,0,0::20,0::Adult 18+,0::Female,,0::Killed,0::Victim,16.0,16.0
183489,2014-01-03,Washington,Selah,1,0,4.0,,,"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Defensive Use",46.65,-120.517,0,,0::Adult 18+,0::Male,,0::Killed,0::Victim,15.0,15.0
92683,2014-01-03,Maryland,Baltimore,1,0,7.0,,,"Shot - Dead (murder, accidental, suicide)",39.307,-76.662,0,,0::Adult 18+,0::Male,,0::Killed,0::Victim,40.0,40.0
93317,2014-01-03,West Virginia,Charleston,1,0,2.0,,,"Shot - Dead (murder, accidental, suicide)",38.32,-81.579,0,0::90,0::Adult 18+,0::Male,,0::Killed,0::Victim,36.0,17.0
93338,2014-01-03,Washington,Pasco,1,0,4.0,,,"Shot - Dead (murder, accidental, suicide)||Domestic Violence",46.229,-119.098,0,0::46||1::47,0::Adult 18+||1::Adult 18+,0::Female||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,16.0,16.0
92755,2014-01-03,Pennsylvania,Philadelphia,2,0,1.0,,,"Shot - Dead (murder, accidental, suicide)",40.011,-75.096,0,0::38||1::35,0::Adult 18+||1::Adult 18+,0::Male||1::Female,,0::Killed||1::Killed,0::Victim||1::Victim,,
92811,2014-01-03,Oregon,Lincoln City,1,1,5.0,,,"Shot - Dead (murder, accidental, suicide)||Suicide^||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff",44.963,-124.01,0,0::30||1::30,0::Adult 18+||1::Adult 18+,0::Female||1::Male,,0::Killed||1::Injured,0::Subject-Suspect||1::Subject-Suspect,10.0,5.0
93678,2014-01-03,Louisiana,New Orleans,1,0,2.0,,,"Shot - Dead (murder, accidental, suicide)||Drug involvement||Armed robbery with injury/death and/or evidence of DGU found",29.945,-90.038,0,0::23||1::20||2::17,0::Adult 18+||1::Adult 18+||2::Teen 12-17,0::Male||1::Male||2::Male,,0::Killed||1::Unharmed||2::Unharmed,0::Victim||1::Subject-Suspect||2::Subject-Suspect,102.0,7.0
93219,2014-01-03,Texas,Watauga,1,2,26.0,,,Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Domestic Violence,32.863,-97.256,0,,0::Adult 18+||1::Adult 18+||2::Adult 18+,0::Female||1::Female||2::Male,,0::Injured||1::Injured||2::Killed,0::Victim||1::Victim||2::Subject-Suspect,91.0,9.0
92806,2014-01-03,Montana,Lockwood,1,0,1.0,,,"Shot - Dead (murder, accidental, suicide)",45.824,-108.399,0,0::52||1::27,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,,
92675,2014-01-03,Montana,Yellowstone County,1,0,1.0,,,"Shot - Dead (murder, accidental, suicide)",45.823,-108.398,0,1::27,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,,
125330,2014-01-03,Washington,Yakima County,1,0,4.0,,,"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",46.544,-120.756,0,0::30,0::Adult 18+,0::Male,,0::Killed,0::Victim,14.0,14.0
92780,2014-01-03,Ohio,Columbus,1,0,3.0,,,Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed,39.961,-82.999,0,0::47,0::Adult 18+,0::Male,,0::Killed,0::Victim,18.0,15.0
92929,2014-01-03,Minnesota,Saint Paul,1,1,4.0,,,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Drug involvement||Armed robbery with injury/death and/or evidence of DGU found",44.978,-93.025,0,0::22||1::21||2::21||3::18,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+,0::Male||1::Male||2::Male||3::Male,,0::Killed||3::Injured,0::Victim||1::Subject-Suspect||2::Subject-Suspect||3::Subject-Suspect,,67.0
